size_sqft,total_bedrooms,total_bathrooms,house_age,location,garage,condition,price
1699,2,1.0,2,Suburban,Yes,Excellent,713000
1445,2,1.0,2,Suburban,Yes,Good,646000
1759,4,2.5,8,Suburban,No,Excellent,676000
2109,4,3.5,13,Urban,Yes,Good,813000
1406,1,2.0,1,Suburban,No,Excellent,578000
1406,5,3.5,42,Urban,Yes,Good,687000
2132,1,1.5,21,Suburban,Yes,Excellent,693000
1807,3,2.5,13,Rural,No,Poor,541000
1312,4,2.5,26,Suburban,Yes,Excellent,640000
1717,5,2.5,1,Suburban,Yes,Poor,574000
1315,4,2.5,9,Suburban,Yes,Average,551000
1314,4,2.0,14,Urban,Yes,Excellent,661000
1597,3,2.5,26,Rural,Yes,Average,579000
735,4,2.5,22,Rural,No,Excellent,478000
810,1,1.5,4,Urban,Yes,Poor,435000
1275,5,3.0,42,Suburban,Yes,Good,585000
1095,3,3.0,1,Rural,No,Excellent,571000
1626,4,2.0,31,Rural,Yes,Excellent,643000
1137,3,2.5,50,Suburban,Yes,Excellent,569000
935,4,3.0,2,Suburban,No,Poor,546000
2086,3,2.5,19,Urban,No,Excellent,764000
1410,4,2.0,0,Rural,Yes,Average,557000
1527,1,1.5,7,Urban,Yes,Good,633000
930,1,1.5,10,Suburban,Yes,Poor,422000
1282,2,2.0,13,Urban,Yes,Excellent,635000
1544,2,2.0,41,Urban,Yes,Good,663000
1040,5,3.0,16,Suburban,Yes,Good,620000
1650,2,1.5,9,Rural,Yes,Average,617000
1260,5,3.0,24,Urban,Yes,Excellent,666000
1383,3,3.0,45,Suburban,Yes,Excellent,659000
1259,2,2.0,0,Urban,No,Excellent,622000
2241,4,3.0,50,Urban,Yes,Average,783000
1495,4,2.0,1,Suburban,Yes,Excellent,676000
1077,3,3.0,25,Suburban,Yes,Good,594000
1829,3,3.0,4,Urban,Yes,Excellent,801000
1012,4,3.0,2,Urban,No,Poor,547000
1584,2,1.5,8,Urban,Yes,Poor,613000
716,5,2.0,15,Urban,Yes,Good,606000
969,5,3.5,7,Rural,Yes,Excellent,582000
1579,4,3.0,0,Rural,No,Excellent,605000
1795,2,1.5,13,Urban,Yes,Excellent,772000
1569,4,3.0,34,Suburban,Yes,Excellent,655000
1454,1,1.0,7,Rural,Yes,Average,533000
1380,1,1.5,3,Urban,Yes,Good,658000
909,2,2.0,8,Rural,Yes,Poor,424000
1212,3,3.0,0,Rural,Yes,Excellent,568000
1316,5,3.0,25,Urban,No,Average,625000
1923,4,2.0,26,Urban,No,Good,652000
1637,4,2.5,13,Rural,Yes,Good,624000
795,3,3.0,6,Suburban,Yes,Excellent,577000
1630,3,2.5,24,Urban,Yes,Good,671000
1346,3,2.5,12,Urban,No,Good,582000
